gatId,gatIdGr,street,houseNo,eldership,place,longitude,latitude,fullAddress,geometry,traffic_noise,railway_noise,airport_noise,heating_score
21981,125,Gabijos g.,85,Pašilaičiai,Vilnius,25.22455,54.73409,Gabijos g. 85,POINT (25.22455 54.73409),40-44,0-34,0-34,4.0
28268,834,Mileišiškių g.,10,Antakalnis,Vilnius,25.3425,54.71217,Mileišiškių g. 10,POINT (25.3425 54.71217),0-34,35-39,50-54,
53634,2408,Ribiškių Sodų 2-oji g.,25,Rasos,Vilnius,25.31117,54.6567,Ribiškių Sodų 2-oji g. 25,POINT (25.31117 54.6567),50-54,0-34,55-59,
22309,468,Ribiškių tak.,25,Rasos,Vilnius,25.32368,54.65584,Ribiškių tak. 25,POINT (25.32368 54.65584),45-49,40-44,45-49,
22309,468,Ribiškių tak.,33,Rasos,Vilnius,25.31354,54.65688,Ribiškių tak. 33,POINT (25.31354 54.65688),50-54,40-44,55-59,
22309,468,Ribiškių tak.,35A,Rasos,Vilnius,25.31359,54.65821,Ribiškių tak. 35A,POINT (25.31359 54.65821),50-54,40-44,55-59,
53634,2408,Ribiškių Sodų 2-oji g.,27,Rasos,Vilnius,25.31078,54.65665,Ribiškių Sodų 2-oji g. 27,POINT (25.31078 54.65665),50-54,35-39,55-59,
53634,2408,Ribiškių Sodų 2-oji g.,44,Rasos,Vilnius,25.31084,54.656,Ribiškių Sodų 2-oji g. 44,POINT (25.31084 54.656),55-59,35-39,55-59,
85971,2883,Gvazdikų Sodų g.,22,Antakalnis,Vilnius,25.38587,54.74895,Gvazdikų Sodų g. 22,POINT (25.38587 54.74895),0-34,0-34,45-49,
53214,2197,Juodvarnių Sodų 17-oji g.,14,Antakalnis,Vilnius,25.38401,54.71922,Juodvarnių Sodų 17-oji g. 14,POINT (25.38401 54.71922),0-34,0-34,40-44,
53626,2404,Uosių Sodų 13-oji g.,30,Naujoji Vilnia,Vilnius,25.38726,54.70617,Uosių Sodų 13-oji g. 30,POINT (25.38726 54.70617),0-34,35-39,35-39,
61750,2667,Grūdų Sodų 4-oji g.,42,Naujoji Vilnia,Vilnius,25.36223,54.66256,Grūdų Sodų 4-oji g. 42,POINT (25.36223 54.66256),0-34,35-39,0-34,
53632,2407,Ribiškių Sodų 1-oji g.,8,Rasos,Vilnius,25.31141,54.65474,Ribiškių Sodų 1-oji g. 8,POINT (25.31141 54.65474),55-59,0-34,55-59,
53154,2167,Gvazdikų Sodų 6-oji g.,120,Antakalnis,Vilnius,25.38433,54.75028,Gvazdikų Sodų 6-oji g. 120,POINT (25.38433 54.75028),0-34,0-34,45-49,
28289,856,Vakaro g.,9,Lazdynai,Vilnius,25.18734,54.66655,Vakaro g. 9,POINT (25.18734 54.66655),50-54,0-34,0-34,
61750,2667,Grūdų Sodų 4-oji g.,7,Naujoji Vilnia,Vilnius,25.3678,54.6622,Grūdų Sodų 4-oji g. 7,POINT (25.3678 54.6622),0-34,40-44,0-34,
21888,27,Architektų g.,25,Lazdynai,Vilnius,25.20936,54.67304,Architektų g. 25,POINT (25.20936 54.67304),50-54,35-39,0-34,4.0
21933,77,Rūko g.,38,Lazdynai,Vilnius,25.1961,54.66039,Rūko g. 38,POINT (25.1961 54.66039),0-34,35-39,0-34,
21888,27,Architektų g.,64,Lazdynai,Vilnius,25.20922,54.67242,Architektų g. 64,POINT (25.20922 54.67242),55-59,35-39,0-34,6.0
21973,117,Erfurto g.,40,Lazdynai,Vilnius,25.20645,54.67533,Erfurto g. 40,POINT (25.20645 54.67533),45-49,0-34,0-34,6.0
21973,117,Erfurto g.,42,Lazdynai,Vilnius,25.2062,54.67486,Erfurto g. 42,POINT (25.2062 54.67486),40-44,0-34,0-34,
22537,1254,Krivių g.,3,Senamiestis,Vilnius,25.30027,54.68188,Krivių g. 3,POINT (25.30027 54.68188),40-44,0-34,45-49,0.0
21888,27,Architektų g.,3,Lazdynai,Vilnius,25.21498,54.67649,Architektų g. 3,POINT (25.21498 54.67649),50-54,0-34,0-34,7.0
22501,670,Šv. Stepono g.,32,Senamiestis,Vilnius,25.2796,54.67157,Šv. Stepono g. 32,POINT (25.2796 54.67157),40-44,35-39,40-44,0.0
